stop_id,stop_name,stop_lat,stop_lon
"10174467","ป้ายรถประจำทาง วัดกิ่งแก้ว","13.7803576","100.4391644"
"10174466","ป้ายรถประจำทาง ห้างเซ็นทรัลพระราม 3","13.6974921","100.538097"
"10174465","ป้ายรถประจำทาง","13.8196023","100.5640321"
"10174464","ป้ายรถประจำทาง","13.7279913608","100.4935190295"
"10174463","ป้ายรถประจำทาง ตรงข้ามโรงเรียนสยามบริหารธุรกิจ นนทบุรี","13.8594315","100.5174077"
"10174462","ป้ายรถประจำทาง เรียบทางรถไฟสถานีรถไฟหัวลำโพง","13.7415297259","100.5158831387"
"10174461","ป้ายรถประจำทาง ตึกปัจจะ","13.6962665","100.5378377"
"10174460","ป้ายรถประจำทาง","13.7436560693","100.5053918866"
"10174459","ป้ายรถประจำทาง","13.7446686","100.5356141"
"10174458","ป้ายรถประจำทาง","13.5854184","100.6122294"
"10174457","ป้ายรถประจำทาง","13.7283859","100.5158462"
"10174456","ป้ายรถประจำทาง","13.5846047","100.6147537"
"10174455","ป้ายรถประจำทาง เพชรเกษม ซอย 51","13.710107","100.4007999"
"10174454","ป้ายรถประจำทาง","13.5786198","100.6256733"
"10174453","ป้ายรถประจำทาง","13.72621603","100.5198295686"
"10174452","ป้ายรถประจำทาง","13.5722496","100.6416029"
"10174451","ป้ายรถประจำทาง","13.5710332657","100.647770611"
"10174450","ป้ายรถประจำทาง ตรงข้ามโรงเรียนสยามบริหารธุรกิจ นนทบุรี","13.8591582","100.5191152"
"10174449","ป้ายรถประจำทาง ซอยเพชรเกษม 45/1","13.7108824","100.4116046"
"10174448","ป้ายรถประจำทาง","13.5703935","100.6502641"
"10174447","ป้ายรถประจำทาง","13.5688832","100.6576784"
"10174446","ป้ายรถประจำทาง นางเลิ้ง","13.7607568","100.5163439"
"10174445","ป้ายรถประจำทาง","13.7348454","100.5242543"
"10174444","ป้ายรถประจำทาง","13.7295414","100.5305383"
"10174443","ป้ายรถประจำทาง โรงแรมแมนดาริน","13.7342957931","100.5255183386"
"10174442","ป้ายรถประจำทาง","13.5667876","100.6670001"
"10174441","ป้ายรถประจำทาง ตรงข้ามหมู่บ้านสี่ไชยทอง","13.9058305","100.5238407"
"10174440","ป้ายรถประจำทาง สนามบอล","13.7161936","100.5610369"
"10174439","ป้ายรถประจำทาง กองร้อยทหารขนส่งเรือ","13.7937961476","100.5180990368"
"10174438","ป้ายรถประจำทาง ท่าเตียน","13.7473057","100.4902879"
"10174437","ป้ายรถประจำทาง","13.7587692","100.5187148"
"10174436","ป้ายรถประจำทาง ห้างเมอร์รีคิงเจริญกรุง","13.7454699","100.5026665"
"10174435","ป้ายรถประจำทาง","13.5663029147","100.6699491742"
"10174434","ป้ายรถประจำทาง ศาลแรงงาน","13.7364154","100.5201223"
"10174433","ป้ายรถประจำทาง","13.7296293441","100.5304759632"
"10174432","ป้ายรถประจำทาง โรงพยาบาลสมุทรปราการ","13.5846819","100.5996839"
"10174431","ป้ายรถประจำทาง","13.7282621078","100.5259152354"
"10174430","ป้ายรถประจำทาง","13.5660301467","100.671115927"
"10174429","ป้ายรถประจำทาง","13.7603034","100.5172822"
"10174428","ป้ายรถประจำทาง","13.5645618549","100.6780779208"
"10174427","ป้ายรถประจำทาง","13.5641006145","100.6803031613"
"10174426","ป้ายรถประจำทาง ซอยพัฒนา","13.80634","100.5252879"
"10174425","ป้ายรถประจำทาง ซอยสะพานขาว","13.8063089","100.5289598"
"10174424","ป้ายรถประจำทาง วัดสุทัศน์","13.7510700439","100.5002776288"
"10174423","ป้ายรถประจำทาง","13.7455149582","100.4953643758"
"10174422","ป้ายรถประจำทาง สวนอาหารจวนทอง","13.7857579933","100.4704818583"
"10174421","ป้ายรถประจำทาง กรมรักษาดินแดง","13.7473027215","100.4950206393"
"10174420","ป้ายรถประจำทาง จรัญสนิทวงศ์ ซอย 43","13.769294","100.4785621"
"10174419","ป้ายรถประจำทาง ตรงข้ามกระทรวงมหาดไทย","13.7860421216","100.4618267111"
"10174418","ป้ายรถประจำทาง","13.7772431861","100.7462657715"
"10174417","ป้ายรถประจำทาง ตรงข้าม ศาลาว่าการกรุงเทพมหานคร","13.754504","100.5012587"
"10174416","ป้ายรถประจำทาง ตรงข้ามซอยกรุงเทพ-นนท์ 56","13.8307804","100.5253298"
"10174415","ป้ายรถประจำทาง ซอยวัดใหญ่ศรีสุพรรณ 2","13.726939","100.4895238"
"10174414","ป้ายรถประจำทาง หน้าปั๊มน้ำมัน","13.9075203","100.5055234"
"10174413","ป้ายรถประจำทาง","13.8290899579","100.5273888227"
"10174412","ป้ายรถประจำทาง วัดนครชื่นชุ่ม","13.7616768","100.3284402"
"10174411","ป้ายรถประจำทาง","13.7726667825","100.5268856962"
"10174410","ป้ายรถประจำทาง","13.7720363498","100.5263975341"
"10174409","ป้ายรถประจำทาง หมู่บ้านนครธน","13.7052543","100.3418791"
"10174408","ป้ายรถประจำทาง วัดราชนัดดาราม","13.7580504208","100.5020054625"
"10174407","ป้ายรถประจำทาง สถานีรถไฟฟ้า BTS อารีย์","13.7795073","100.5447065"
"10174406","ป้ายรถประจำทาง หน้าทางเข้าการเคหะบางพลี ป้าย 1","13.559739","100.7797694"
"10174405","ป้ายรถประจำทาง วัดมหาธาตุยุวราธรังสฤษฎิ์ราชวรมหาวิหาร","13.7540163","100.4895229"
"10174404","ป้ายรถประจำทาง สายใต้ใหม่","13.7876446","100.4675122"
