id,name,lat,long,police,road,district,description
3013,ธนาคารกรุงไทย สาขาบางชัน (ซอยเสรีไทย 91),13.803706,100.709875,มีนบุรี,เสรีไทย,มีนบุรี,
3014,(ยกเลิก) แยกบางชัน (ถนนมีนพัฒนา),13.805011,100.712156,มีนบุรี,เสรีไทย,มีนบุรี,
3015,บริษัทสุขภัณฑ์เซ็นเตอร์,13.810359,100.71633,มีนบุรี,เสรีไทย,มีนบุรี,
3016,โรงพยาบาลเสรีรักษ์,13.810637,100.716784,มีนบุรี,เสรีไทย,มีนบุรี,
3017,ซอยเสรีไทย 66 (หมู่บ้านพนาสนธิ์),13.807646,100.714972,มีนบุรี,เสรีไทย,มีนบุรี,
3018,ซอยเสรีไทย 58,13.80143725,100.7058437,มีนบุรี,เสรีไทย,มีนบุรี,
3019,ซอยเสรีไทย 87,13.80156875,100.7054189,มีนบุรี,เสรีไทย,มีนบุรี,
3020,ตรงข้ามสุเหร่าคลองกุ่ม (ซอยเสรีไทย 45),13.782809,100.672437,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3021,ตรงข้ามซอยเสรีไทย 41 (ซอยสุขสม),13.780726,100.669581,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3022,คลองบางเตย (ตรงข้ามซอยเสรีไทย37),13.779657,100.667778,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3023,โรงเรียนชินวร (ซอยเสรีไทย 12),13.778659,100.665776,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3024,ตรงข้ามโรงเรียนชินวร (หมู่บ้านทวีสุข),13.77855607,100.6651397,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3025,หมู่บ้านวังทองวิลล่า (ซอยเสรีไทย37),13.77992,100.667754,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3026,ซอยเสรีไทย 41 (ซอยเจริญกาญจน์),13.780784,100.669217,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3027,สุเหร่าคลองกุ่ม (ซอยเสรีไทย 20),13.782329,100.672144,บึงกุ่ม,เสรีไทย,บึงกุ่ม,
3028,ตรงข้ามโรงพยาบาลกลาง (ฝั่งเสือป่า),13.746338,100.509984,พลับพลาไชย 1,เสือป่า,ป้อมปราบศัตรูพ่าย,
3029,โรงพยาบาลกลาง (ฝั่งเสือป่า),13.745791,100.509474,พลับพลาไชย 1,เสือป่า,ป้อมปราบศัตรูพ่าย,
3030,คลองถม (ฝั่งเสือป่า),13.74456397,100.508597,พลับพลาไชย 1,เสือป่า,ป้อมปราบศัตรูพ่าย,
3031,ตลาดหทัยมิตร,13.860035,100.72244,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3032,บ้านเอื้ออาทรหทัยราษฎร์,13.855834,100.722107,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3033,ตรงข้ามเคหะเอื้ออาทรหทัยราษฎร์,13.843252,100.720522,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3034,ตรงข้ามหมู่บ้านร่มทิพย์,13.849115,100.721287,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3035,หมู่บ้านสัมมากรหทัยราษฎร์,13.84278272,100.7206948,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3036,ตรงข้ามสัมมากรหทัยราษฎร์,13.843252,100.720522,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3037,สถานีบริการน้ำมัน ปตท. (หมู่บ้านร่มทิพย์),13.851542,100.7213,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3038,วิทยาลัยเทคโนโลยีแฟชั่นนานาชาติ,13.854956,100.721785,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3039,บ้านวิลล่าจามจุรี,13.863009,100.722701,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3040,ตรงข้ามตลาดหทัยมิตร,13.860697,100.722233,มีนบุรี,หทัยราษฎร์,คลองสามวา,
3041,ต้นกกรีสอร์ท (ขาเข้า),13.835795,100.720201,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3042,โชร์รูมมิตซู (ตรงข้ามซอยหทัยราษฎร์ 29),13.831636,100.72027,มีนบุรี,หทัยราษฎร์,มีนบุรี,
3043,ตรงข้ามโรงเรียนสุดใจ,13.82903939,100.7202523,มีนบุรี,หทัยราษฎร์,มีนบุรี,
